Workcenter,Machine,Job,Type,Priority
1,1,job5036,2,1
4,0,job5163,2,1
2,1,job5222,1,1
2,1,job5202,4,1
3,0,job5124,3,1
4,0,job5173,2,1
1,0,job5261,3,1
1,0,job5066,3,1
2,1,job5212,4,1
2,0,job5145,2,1
3,1,job5134,1,1
1,1,job5026,1,1
1,0,job5271,4,1
3,0,job5164,2,1
4,0,job5153,1,1
3,0,job5094,3,1
2,0,job5232,4,1
2,0,job5115,2,1
3,0,job5174,2,1
2,1,job5242,1,1
4,0,job5183,4,1
1,1,job5281,1,1
1,0,job5016,3,1
4,0,job5008,2,1
1,1,job5086,1,1
2,1,job5252,1,1
3,0,job5154,1,1
1,1,job5291,2,1
2,0,job5125,3,1
1,1,job5056,2,1
2,0,job5262,3,1
2,1,job5105,4,1
3,1,job5184,4,1
3,0,job5067,3,1
1,0,job5301,1,1
4,0,job5193,4,1
3,0,job5037,2,1
1,0,job5046,3,1
2,1,job5272,4,1
1,1,job5076,1,1
4,0,job5223,1,1
1,0,job5311,2,1
3,0,job5017,3,1
2,0,job5165,2,1
3,1,job5027,1,1
2,0,job5135,1,1
1,1,job5321,1,1
3,1,job5194,4,1
2,1,job5302,1,1
2,0,job5095,3,1
4,0,job5203,4,1
1,0,job5146,2,1
2,1,job5282,1,1
3,0,job5224,1,1
3,0,job5047,3,1
1,0,job5331,2,1
3,1,job5204,4,1
4,0,job5213,4,1
2,0,job5175,2,1
4,0,job5233,4,1
1,0,job5341,4,1
3,0,job5087,1,1
2,0,job5312,2,1
4,0,job5243,1,1
3,1,job5214,4,1
2,0,job5185,4,1
1,0,job5351,1,1
2,0,job5155,1,1
3,1,job5234,4,1
4,0,job5253,1,1
1,1,job5116,2,1
2,1,job5292,2,1
3,0,job5147,2,1
4,1,job5028,1,1
3,0,job5244,1,1
4,1,job5068,3,1
1,0,job5106,4,1
1,1,job5361,1,1
3,0,job5254,1,1
1,0,job5126,3,1
3,0,job5057,2,1
4,0,job5038,2,1
2,1,job5195,4,1
1,0,job5371,3,1
2,0,job5332,2,1
4,0,job5273,4,1
4,1,job5018,3,1
4,0,job5263,3,1
2,1,job5342,4,1
1,1,job5381,1,1
3,0,job5077,1,1
4,0,job5303,1,1
2,1,job5225,1,1
2,0,job5205,4,1
2,1,job5352,1,1
3,1,job5274,4,1
1,1,job5391,2,1
4,0,job5283,1,1
1,1,job5166,2,1
2,0,job5322,1,1
4,1,job5048,3,1
3,0,job5264,3,1
4,0,job5293,2,1
4,1,job5088,1,1
1,0,job5401,3,1
3,1,job5107,4,1
3,0,job5304,1,1
1,0,job5136,1,1
2,1,job5215,4,1
1,0,job5196,4,1
3,0,job5284,1,1
3,1,job5127,3,1
3,0,job5117,2,1
4,0,job5148,2,1
1,0,job5096,3,1
1,1,job5411,2,1
2,1,job5372,3,1
3,1,job5294,2,1
2,1,job5235,4,1
2,1,job5245,1,1
4,0,job5343,4,1
2,1,job5362,1,1
2,1,job5402,3,1
1,1,job5421,1,1
1,1,job5226,1,1
1,0,job5176,2,1
2,1,job5255,1,1
2,1,job5382,1,1
2,0,job5275,4,1
3,1,job5344,4,1
4,0,job5313,2,1
1,0,job5431,3,1
4,0,job5353,1,1
3,0,job5137,1,1
4,1,job5058,2,1
1,0,job5186,4,1
3,0,job5314,2,1
1,0,job5216,4,1
4,1,job5078,1,1
1,0,job5441,3,1
3,0,job5354,1,1
3,1,job5197,4,1
1,1,job5156,1,1
2,0,job5392,2,1
4,0,job5108,4,1
3,0,job5097,3,1
4,0,job5333,2,1
2,1,job5265,3,1
4,1,job5128,3,1
4,0,job5373,3,1
1,0,job5451,4,1
1,0,job5206,4,1
3,1,job5167,2,1
2,0,job5305,1,1
3,1,job5334,2,1
1,0,job5236,4,1
3,1,job5177,2,1
2,0,job5295,2,1
1,0,job5461,4,1
3,0,job5374,3,1
4,0,job5323,1,1
1,1,job5246,1,1
2,1,job5285,1,1
2,1,job5432,3,1
2,0,job5412,2,1
3,0,job5324,1,1
1,0,job5276,4,1
1,0,job5471,4,1
4,0,job5363,1,1
4,0,job5118,2,1
4,0,job5393,2,1
2,0,job5345,4,1
3,1,job5187,4,1
3,0,job5364,1,1
2,0,job5422,1,1
4,1,job5138,1,1
1,0,job5481,4,1
1,1,job5306,1,1
3,1,job5217,4,1
4,0,job5403,3,1
4,0,job5198,4,1
1,1,job5491,1,1
3,0,job5227,1,1
1,1,job5256,1,1
2,0,job5315,2,1
2,1,job5442,3,1
3,1,job5394,2,1
1,1,job5296,2,1
3,0,job5404,3,1
4,0,job5168,2,1
1,0,job5501,3,1
2,1,job5452,4,1
2,0,job5355,1,1
4,1,job5383,1,1
4,0,job5413,2,1
3,0,job5157,1,1
3,1,job5207,4,1
1,0,job5346,4,1
4,1,job5098,3,1
1,0,job5266,3,1
1,1,job5511,2,1
2,0,job5335,2,1
2,0,job5375,3,1
3,1,job5237,4,1
1,1,job5286,1,1
3,0,job5247,1,1
4,0,job5423,1,1
1,0,job5521,4,1
4,1,job5178,2,1
2,1,job5462,4,1
2,0,job5325,1,1
3,0,job5414,2,1
1,0,job5531,4,1
3,0,job5424,1,1
3,1,job5277,4,1
3,0,job5307,1,1
4,0,job5433,3,1
2,0,job5365,1,1
1,1,job5316,2,1
4,0,job5188,4,1
2,1,job5472,4,1
3,0,job5434,3,1
4,1,job5228,1,1
1,0,job5541,3,1
2,0,job5492,1,1
1,1,job5356,1,1
2,1,job5482,4,1
4,0,job5443,3,1
2,0,job5405,3,1
3,0,job5384,1,1
1,1,job5551,1,1
3,0,job5444,3,1
4,0,job5218,4,1
2,1,job5502,3,1
4,1,job5158,1,1
3,0,job5257,1,1
1,0,job5561,4,1
1,1,job5336,2,1
4,0,job5453,4,1
4,1,job5248,1,1
3,1,job5347,4,1
2,0,job5395,2,1
3,1,job5454,4,1
3,0,job5267,3,1
1,0,job5376,3,1
1,1,job5571,2,1
3,0,job5297,2,1
4,0,job5463,4,1
2,0,job5415,2,1
2,1,job5522,4,1
1,0,job5326,1,1
3,1,job5464,4,1
1,1,job5581,2,1
2,1,job5532,4,1
4,0,job5208,4,1
1,0,job5366,1,1
2,0,job5425,1,1
4,0,job5473,4,1
2,0,job5512,2,1
4,1,job5308,1,1
1,1,job5591,1,1
2,1,job5542,3,1
4,0,job5493,1,1
3,1,job5474,4,1
4,0,job5238,4,1
4,0,job5483,4,1
2,0,job5435,3,1
1,1,job5601,1,1
2,1,job5562,4,1
1,0,job5406,3,1
3,0,job5494,1,1
3,0,job5287,1,1
3,0,job5377,3,1
2,0,job5385,1,1
1,1,job5611,2,1
4,1,job5278,4,1
4,0,job5503,3,1
3,1,job5484,4,1
2,0,job5445,3,1
3,0,job5317,2,1
1,0,job5396,2,1
3,0,job5327,1,1
3,0,job5504,3,1
1,0,job5621,2,1
4,1,job5258,1,1
4,0,job5523,4,1
4,0,job5348,4,1
3,0,job5357,1,1
4,1,job5268,3,1
1,0,job5416,2,1
3,0,job5367,1,1
3,1,job5524,4,1
1,1,job5631,2,1
4,0,job5533,4,1
3,0,job5407,3,1
4,0,job5298,2,1
1,0,job5426,1,1
2,1,job5552,1,1
2,0,job5455,4,1
1,0,job5641,4,1
3,1,job5534,4,1
4,0,job5513,2,1
2,0,job5495,1,1
1,0,job5651,4,1
4,0,job5543,3,1
3,0,job5397,2,1
3,0,job5337,2,1
4,1,job5288,1,1
1,0,job5436,3,1
2,1,job5465,4,1
1,0,job5661,1,1
4,1,job5378,3,1
1,1,job5386,1,1
3,0,job5514,2,1
4,0,job5563,4,1
2,0,job5622,2,1
1,0,job5671,3,1
2,0,job5572,2,1
3,0,job5544,3,1
2,0,job5475,4,1
4,0,job5318,2,1
1,0,job5446,3,1
4,0,job5553,1,1
3,1,job5564,4,1
4,1,job5328,1,1
1,1,job5681,2,1
1,0,job5456,4,1
3,0,job5417,2,1
1,0,job5466,4,1
2,1,job5582,2,1
2,0,job5485,4,1
2,0,job5505,3,1
1,1,job5496,1,1
4,0,job5583,2,1
1,1,job5691,2,1
4,1,job5358,1,1
4,0,job5623,2,1
3,0,job5554,1,1
2,1,job5592,1,1
3,0,job5427,1,1
4,0,job5573,2,1
4,1,job5368,1,1
2,0,job5525,4,1
1,0,job5701,3,1
2,0,job5642,4,1
3,1,job5584,2,1
4,1,job5408,3,1
1,0,job5476,4,1
2,1,job5602,1,1
4,0,job5593,1,1
2,0,job5652,4,1
3,0,job5624,2,1
1,0,job5486,4,1
1,0,job5711,3,1
3,0,job5437,3,1
4,0,job5398,2,1
2,0,job5535,4,1
3,0,job5574,2,1
4,0,job5603,1,1
3,0,job5594,1,1
1,0,job5506,3,1
2,1,job5612,2,1
4,1,job5338,2,1
1,0,job5721,1,1
2,1,job5662,1,1
1,1,job5526,4,1
2,0,job5565,4,1
4,0,job5613,2,1
2,1,job5672,3,1
2,0,job5515,2,1
2,1,job5632,2,1
1,1,job5731,1,1
3,0,job5604,1,1
4,0,job5663,1,1
3,0,job5447,3,1
4,0,job5643,4,1
2,0,job5585,2,1
2,1,job5545,3,1
3,1,job5614,2,1
1,0,job5741,4,1
3,1,job5457,4,1
3,0,job5664,1,1
3,0,job5387,1,1
4,0,job5673,3,1
4,0,job5418,2,1
4,0,job5653,4,1
1,0,job5751,4,1
3,1,job5467,4,1
2,0,job5615,2,1
3,1,job5644,4,1
4,0,job5633,2,1
1,0,job5536,4,1
2,0,job5555,1,1
3,0,job5674,3,1
2,1,job5702,3,1
1,0,job5566,4,1
1,1,job5546,3,1
1,1,job5761,1,1
2,0,job5682,2,1
4,1,job5428,1,1
4,0,job5458,4,1
3,1,job5477,4,1
1,0,job5771,3,1
4,0,job5703,3,1
1,1,job5516,2,1
2,0,job5625,2,1
3,0,job5497,1,1
3,1,job5654,4,1
3,1,job5487,4,1
4,1,job5438,3,1
4,0,job5468,4,1
1,0,job5781,1,1
3,0,job5634,2,1
2,1,job5712,3,1
1,1,job5586,2,1
3,0,job5507,3,1
2,0,job5692,2,1
1,0,job5791,1,1
2,0,job5575,2,1
2,0,job5645,4,1
3,0,job5704,3,1
4,0,job5713,3,1
2,1,job5722,1,1
3,1,job5527,4,1
1,1,job5616,2,1
2,1,job5595,1,1
1,0,job5801,3,1
2,1,job5742,4,1
3,0,job5714,3,1
4,1,job5478,4,1
4,0,job5723,1,1
1,1,job5556,1,1
2,1,job5732,1,1
2,1,job5605,1,1
2,1,job5752,4,1
1,1,job5596,1,1
3,0,job5724,1,1
4,0,job5683,2,1
1,0,job5811,3,1
3,0,job5547,3,1
4,1,job5448,3,1
3,1,job5537,4,1
3,1,job5684,2,1
1,1,job5821,1,1
2,1,job5655,4,1
2,0,job5665,1,1
2,1,job5762,1,1
3,1,job5567,4,1
4,0,job5743,4,1
1,1,job5626,2,1
4,1,job5388,1,1
1,0,job5831,1,1
4,0,job5693,2,1
3,1,job5744,4,1
2,1,job5772,3,1
4,0,job5488,4,1
4,0,job5733,1,1
2,0,job5675,3,1
3,0,job5517,2,1
1,1,job5841,2,1
3,0,job5694,2,1
1,0,job5606,1,1
4,1,job5498,1,1
1,1,job5576,2,1
2,1,job5782,1,1
4,0,job5528,4,1
3,0,job5587,2,1
1,0,job5851,1,1
1,0,job5646,4,1
3,0,job5734,1,1
4,0,job5753,4,1
2,0,job5792,1,1
2,0,job5635,2,1
1,0,job5861,1,1
1,0,job5656,4,1
1,1,job5666,1,1
3,0,job5617,2,1
4,1,job5508,3,1
4,0,job5538,4,1
2,0,job5802,3,1
3,1,job5754,4,1
1,0,job5676,3,1
4,0,job5763,1,1
1,0,job5871,3,1
2,0,job5705,3,1
2,1,job5812,3,1
2,0,job5685,2,1
2,1,job5715,3,1
3,0,job5557,1,1
3,0,job5764,1,1
4,0,job5793,1,1
1,0,job5881,4,1
2,1,job5832,1,1
3,0,job5794,1,1
4,0,job5773,3,1
2,1,job5725,1,1
3,0,job5774,3,1
3,0,job5597,1,1
4,0,job5568,4,1
4,0,job5783,1,1
4,1,job5548,3,1
1,1,job5636,2,1
1,1,job5891,2,1
3,0,job5607,1,1
2,1,job5822,1,1
4,0,job5518,2,1
1,0,job5901,1,1
3,0,job5784,1,1
2,1,job5852,1,1
2,0,job5745,4,1
4,0,job5813,3,1
4,0,job5803,3,1
3,0,job5627,2,1
1,0,job5716,3,1
2,0,job5695,2,1
1,0,job5911,1,1
1,1,job5706,3,1
3,1,job5647,4,1
2,0,job5755,4,1
3,0,job5814,3,1
4,1,job5588,2,1
4,0,job5833,1,1
1,1,job5921,2,1
3,0,job5804,3,1
2,1,job5862,1,1
2,0,job5842,2,1
1,1,job5726,1,1
1,1,job5686,2,1
3,0,job5834,1,1
2,1,job5735,1,1
4,0,job5648,4,1
1,0,job5931,3,1
3,1,job5657,4,1
1,0,job5746,4,1
4,0,job5823,1,1
3,0,job5577,2,1
3,0,job5677,3,1
4,1,job5618,2,1
1,0,job5941,3,1
4,0,job5853,1,1
3,0,job5824,1,1
4,1,job5558,1,1
2,1,job5872,3,1
3,0,job5854,1,1
4,0,job5658,4,1
1,1,job5696,2,1
3,0,job5667,1,1
4,0,job5863,1,1
1,0,job5951,3,1
2,1,job5765,1,1
2,0,job5882,4,1
1,0,job5736,1,1
1,0,job5756,4,1
2,0,job5795,1,1
3,0,job5864,1,1
4,0,job5843,2,1
1,0,job5961,1,1
2,1,job5902,1,1
3,1,job5637,2,1
2,1,job5775,3,1
3,0,job5717,3,1
3,1,job5844,2,1
4,0,job5873,3,1
1,0,job5971,3,1
4,0,job5638,2,1
4,1,job5598,1,1
3,0,job5874,3,1
4,0,job5883,4,1
1,0,job5766,1,1
2,0,job5892,2,1
1,1,job5981,2,1
2,1,job5912,1,1
4,1,job5608,1,1
1,1,job5796,1,1
3,0,job5707,3,1
2,0,job5845,2,1
4,0,job5903,1,1
2,0,job5785,1,1
4,0,job5893,2,1
2,1,job5932,3,1
1,0,job5991,1,1
3,1,job5884,4,1
1,0,job5776,3,1
3,1,job5747,4,1
4,0,job5628,2,1
2,0,job5922,2,1
3,0,job5904,1,1
1,0,job6001,3,1
1,1,job5846,2,1
4,0,job5913,1,1
2,0,job5815,3,1
2,1,job5942,3,1
3,1,job5894,2,1
1,1,job5786,1,1
2,0,job5885,4,1
1,0,job6011,4,1
2,0,job5805,3,1
2,1,job5952,3,1
3,0,job5727,1,1
4,0,job5923,2,1
4,0,job5933,3,1
2,0,job5835,1,1
3,0,job5914,1,1
1,0,job5816,3,1
4,0,job5748,4,1
1,0,job6021,4,1
3,1,job5687,2,1
3,0,job5737,1,1
3,1,job5924,2,1
4,0,job5943,3,1
1,0,job5886,4,1
4,0,job5578,2,1
3,0,job5934,3,1
1,1,job6031,2,1
3,1,job5757,4,1
2,0,job5895,2,1
4,1,job5678,3,1
3,1,job5697,2,1
1,0,job5806,3,1
4,1,job5953,3,1
4,0,job5688,2,1
1,0,job6041,1,1
2,0,job5825,1,1
3,0,job5944,3,1
1,1,job5836,1,1
2,1,job5962,1,1
2,0,job5982,2,1
2,1,job5855,1,1
1,1,job6051,2,1
2,0,job5925,2,1
2,1,job5972,3,1
4,0,job5963,1,1
3,0,job5954,3,1
4,1,job5668,1,1
1,1,job5896,2,1
1,1,job5856,1,1
1,0,job6061,4,1
3,0,job5797,1,1
2,0,job5865,1,1
1,0,job5826,1,1
3,0,job5767,1,1
4,0,job5758,4,1
3,0,job5964,1,1
4,1,job5718,3,1
4,0,job5983,2,1
1,0,job6071,3,1
4,0,job5973,3,1
3,1,job5847,2,1
2,1,job5875,3,1
2,1,job5992,1,1
4,1,job5698,2,1
3,0,job5777,3,1
4,1,job5708,3,1
1,0,job6081,4,1
3,1,job5984,2,1
1,0,job5876,3,1
4,0,job5848,2,1
1,1,job5926,2,1
2,1,job6002,3,1
3,0,job5974,3,1
3,0,job5787,1,1
2,0,job5905,1,1
1,1,job5866,1,1
1,1,job6091,1,1
4,0,job5993,1,1
2,1,job6012,4,1
4,1,job5728,1,1
2,0,job5985,2,1
1,1,job5906,1,1
3,0,job5817,3,1
1,0,job6101,1,1
2,0,job5915,1,1
2,0,job6032,2,1
3,0,job5994,1,1
2,1,job6022,4,1
4,0,job6003,3,1
4,1,job5738,1,1
1,1,job5986,2,1
3,0,job6004,3,1
1,0,job6111,3,1
3,1,job5887,4,1
2,0,job5935,3,1
3,0,job5837,1,1
1,0,job5916,1,1
3,0,job5807,3,1
4,0,job6013,4,1
1,0,job6121,4,1
2,0,job5945,3,1
4,0,job6033,2,1
3,1,job6014,4,1
2,0,job5955,3,1
4,0,job5888,4,1
2,1,job6042,1,1
4,0,job6023,4,1
1,1,job6131,1,1
2,0,job6052,2,1
1,0,job5936,3,1
3,1,job6034,2,1
4,1,job5798,1,1
2,1,job6062,4,1
4,1,job5768,1,1
4,0,job6043,1,1
1,0,job5946,3,1
1,1,job6141,2,1
2,1,job6015,4,1
3,1,job5897,2,1
3,1,job6024,4,1
1,0,job5956,3,1
2,0,job5965,1,1
3,0,job5827,1,1
3,0,job6044,1,1
1,1,job6151,2,1
4,0,job6063,4,1
4,1,job5778,3,1
4,0,job6053,2,1
2,0,job6035,2,1
3,0,job5857,1,1
1,0,job6016,4,1
2,1,job6072,3,1
3,1,job6064,4,1
1,0,job6161,4,1
2,1,job5975,3,1
1,1,job5966,1,1
4,1,job5898,2,1
2,1,job6082,4,1
3,1,job6054,2,1
4,1,job5788,1,1
1,0,job6171,4,1
3,0,job5927,2,1
3,0,job5877,3,1
4,0,job6073,3,1
4,1,job5818,3,1
1,1,job6036,2,1
3,0,job6074,3,1
2,0,job6025,4,1
1,0,job5976,3,1
1,0,job6181,4,1
2,0,job5995,1,1
2,1,job6102,1,1
3,0,job5867,1,1
1,0,job6026,4,1
2,0,job6005,3,1
1,0,job6191,3,1
2,1,job6112,3,1
1,1,job5996,1,1
2,0,job6065,4,1
4,0,job6083,4,1
2,1,job6092,1,1
4,1,job5838,1,1
3,1,job6084,4,1
1,0,job6201,3,1
1,0,job6006,3,1
4,0,job6103,1,1
4,1,job5808,3,1
3,0,job5917,1,1
2,0,job6055,2,1
3,0,job5907,1,1
3,0,job6104,1,1
4,1,job5828,1,1
1,1,job6211,3,1
1,0,job6066,4,1
2,1,job6122,4,1
4,0,job6113,3,1
2,1,job6045,1,1
3,0,job5937,3,1
1,1,job6221,2,1
2,0,job6085,4,1
3,0,job5947,3,1
3,0,job5987,2,1
3,1,job6114,3,1
4,1,job5858,1,1
4,0,job6093,1,1
1,1,job6056,2,1
3,1,job5957,3,1
1,1,job6231,2,1
2,0,job6115,3,1
3,0,job6094,1,1
4,0,job5928,2,1
1,0,job6086,4,1
2,1,job6132,1,1
3,1,job6017,4,1
4,1,job5958,3,1
1,0,job6241,1,1
4,1,job5878,3,1
4,0,job6123,4,1
2,1,job6162,4,1
1,0,job6116,3,1
2,0,job6075,3,1
1,1,job6046,1,1
2,1,job6172,4,1
1,0,job6251,4,1
2,0,job6142,2,1
3,1,job6124,4,1
4,1,job5868,1,1
4,0,job6018,4,1
1,0,job6076,3,1
3,0,job5977,3,1
4,0,job6133,1,1
4,1,job5918,1,1
1,1,job6261,1,1
4,0,job6143,2,1
2,1,job6182,4,1
4,1,job5908,1,1
2,0,job6152,2,1
3,0,job6134,1,1
2,1,job6125,4,1
1,1,job6271,2,1
3,1,job6027,4,1
4,1,job6153,2,1
4,0,job6163,4,1
2,0,job6105,1,1
3,1,job6144,2,1
2,1,job6192,3,1
4,1,job5938,3,1
1,1,job6281,2,1
1,0,job6106,1,1
3,0,job5967,1,1
3,1,job6164,4,1
4,0,job6173,4,1
4,1,job5948,3,1
4,0,job6028,4,1
2,1,job6202,3,1
3,1,job6174,4,1
3,0,job6007,3,1
1,0,job6291,4,1
3,1,job6037,2,1
4,0,job5988,2,1
4,0,job6183,4,1
2,0,job6145,2,1
3,1,job6067,4,1
1,0,job6126,4,1
1,1,job6301,2,1
2,0,job6095,1,1
3,0,job5997,1,1
3,1,job6087,4,1
4,1,job5978,3,1
1,0,job6311,4,1
1,1,job6146,2,1
2,0,job6165,4,1
3,1,job6184,4,1
4,0,job6193,3,1
2,1,job6212,3,1
2,0,job6135,1,1
2,0,job6242,1,1
3,0,job6194,3,1
1,1,job6096,1,1
4,0,job5968,1,1
1,1,job6321,2,1
3,0,job6117,3,1
4,0,job6203,3,1
2,0,job6175,4,1
1,0,job6166,4,1
4,1,job6008,3,1
2,1,job6252,4,1
2,0,job6222,2,1
1,0,job6331,4,1
1,1,job6136,1,1
4,1,job5998,1,1
3,0,job6077,3,1
4,0,job6038,2,1
4,0,job6213,3,1
1,0,job6341,3,1
2,0,job6195,3,1
3,0,job6204,3,1
3,0,job6057,2,1
4,0,job6243,1,1
4,1,job6118,3,1
3,0,job6107,1,1
1,0,job6176,4,1
1,1,job6351,2,1
4,0,job6253,4,1
4,0,job6068,4,1
4,1,job6078,3,1
4,0,job6223,2,1
2,1,job6292,4,1
2,0,job6232,2,1
3,0,job6214,3,1
2,0,job6205,3,1
1,0,job6361,4,1
3,0,job6244,1,1
1,0,job6196,3,1
3,1,job6127,4,1
4,0,job6088,4,1
4,1,job6058,2,1
4,0,job6293,4,1
4,0,job6233,2,1
1,1,job6371,1,1
2,1,job6312,4,1
3,0,job6047,1,1
3,1,job6254,4,1
4,0,job6108,1,1
1,0,job6206,3,1
2,1,job6185,4,1
3,1,job6167,4,1
1,0,job6381,4,1
2,1,job6262,1,1
3,0,job6154,2,1
2,0,job6215,3,1
4,0,job6313,4,1
3,0,job6224,2,1
2,1,job6332,4,1
1,0,job6186,4,1
1,0,job6216,3,1
1,0,job6391,4,1
2,1,job6245,1,1
2,0,job6342,3,1
4,0,job6128,4,1
2,0,job6272,2,1
3,1,job6294,4,1
4,0,job6048,1,1
4,0,job6263,1,1
1,0,job6401,3,1
3,1,job6177,4,1
3,0,job6234,2,1
4,0,job6343,3,1
2,1,job6255,4,1
2,1,job6362,4,1
1,0,job6411,4,1
2,0,job6282,2,1
2,0,job6155,2,1
4,0,job6273,2,1
4,0,job6333,4,1
3,0,job6197,3,1
4,0,job6283,2,1
1,1,job6421,2,1
3,0,job6207,3,1
1,1,job6246,1,1
4,0,job6168,4,1
2,0,job6225,2,1
2,0,job6302,2,1
2,1,job6382,4,1
1,0,job6256,4,1
1,0,job6431,1,1
3,1,job6314,4,1
1,1,job6156,2,1
3,1,job6187,4,1
2,0,job6235,2,1
1,1,job6441,1,1
2,1,job6295,4,1
3,0,job6147,2,1
3,0,job6217,3,1
4,0,job6363,4,1
4,1,job6198,3,1
1,0,job6226,2,1
1,0,job6451,4,1
2,1,job6392,4,1
4,1,job6208,3,1
4,0,job6303,2,1
4,0,job6178,4,1
3,0,job6097,1,1
4,0,job6383,4,1
3,0,job6264,1,1
1,1,job6461,2,1
2,1,job6402,3,1
4,0,job6148,2,1
1,0,job6296,4,1
3,0,job6344,3,1
1,1,job6236,2,1
2,1,job6412,4,1
4,1,job6218,3,1
2,1,job6315,4,1
2,0,job6322,2,1
3,0,job6274,2,1
1,0,job6471,3,1
4,1,job6098,1,1
3,1,job6257,4,1
4,0,job6393,4,1
4,0,job6323,2,1
3,1,job6334,4,1
2,0,job6265,1,1
1,1,job6481,1,1
4,0,job6188,4,1
3,0,job6284,2,1
2,0,job6432,1,1
3,0,job6137,1,1
4,0,job6403,3,1
1,0,job6266,1,1
2,0,job6345,3,1
1,0,job6491,3,1
4,0,job6433,1,1
4,1,job6258,4,1
3,1,job6364,4,1
3,0,job6227,2,1
2,0,job6352,2,1
4,0,job6413,4,1
1,0,job6501,4,1
2,0,job6275,2,1
3,0,job6304,2,1
1,1,job6346,3,1
1,0,job6316,4,1
2,1,job6452,4,1
2,1,job6335,4,1
4,0,job6353,2,1
1,0,job6511,4,1
2,1,job6372,1,1
3,1,job6297,4,1
2,0,job6285,2,1
3,1,job6384,4,1
4,0,job6453,4,1
1,0,job6521,4,1
4,1,job6138,1,1
2,1,job6472,3,1
1,0,job6336,4,1
1,1,job6276,2,1
2,0,job6365,4,1
2,0,job6422,2,1
4,0,job6228,2,1
1,0,job6531,4,1
4,0,job6373,1,1
3,0,job6267,1,1
3,1,job6394,4,1
1,1,job6286,2,1
4,0,job6298,4,1
1,1,job6541,2,1
3,0,job6247,1,1
2,0,job6305,2,1
2,1,job6492,3,1
3,0,job6324,2,1
1,0,job6366,4,1
4,0,job6473,3,1
4,1,job6268,1,1
1,0,job6551,4,1
2,1,job6502,4,1
4,0,job6423,2,1
2,0,job6385,4,1
4,1,job6248,1,1
3,0,job6157,2,1
3,0,job6404,3,1
4,0,job6493,3,1
1,0,job6561,3,1
3,1,job6317,4,1
3,0,job6434,1,1
1,1,job6306,2,1
2,1,job6442,1,1
2,1,job6512,4,1
2,0,job6395,4,1
2,0,job6325,2,1
3,1,job6414,4,1
1,0,job6571,4,1
1,0,job6386,4,1
2,0,job6522,4,1
4,0,job6503,4,1
4,1,job6158,2,1
3,0,job6354,2,1
1,0,job6396,4,1
3,1,job6337,4,1
1,0,job6581,4,1
2,0,job6462,2,1
4,1,job6318,4,1
4,0,job6443,1,1
2,0,job6405,3,1
3,1,job6454,4,1
2,1,job6532,4,1
1,0,job6591,4,1
2,0,job6435,1,1
3,0,job6237,2,1
1,1,job6326,2,1
3,1,job6367,4,1
2,0,job6415,4,1
4,0,job6513,4,1
1,0,job6601,4,1
2,1,job6552,4,1
3,0,job6374,1,1
2,1,job6482,1,1
2,0,job6355,2,1
1,0,job6611,1,1
4,1,job6533,4,1
4,0,job6523,4,1
2,1,job6562,3,1
3,0,job6347,3,1
4,0,job6338,4,1
3,0,job6474,3,1
4,0,job6463,2,1
4,1,job6238,2,1
2,1,job6572,4,1
1,1,job6621,2,1
3,0,job6424,2,1
4,0,job6553,4,1
1,0,job6406,3,1
